시도 구분,시군구 구분,특수진료실 구분1,특수진료실 구분2,병실 수,병상 수
서울,강남구,특수진료실,분만실,21,44
서울,강동구,특수진료실,분만실,13,21
서울,강서구,특수진료실,분만실,13,27
서울,관악구,특수진료실,분만실,9,9
서울,구로구,특수진료실,분만실,9,22
서울,도봉구,특수진료실,분만실,4,9
서울,동대문구,특수진료실,분만실,17,28
서울,동작구,특수진료실,분만실,6,10
서울,마포구,특수진료실,분만실,8,8
서울,서대문구,특수진료실,분만실,3,21
서울,성동구,특수진료실,분만실,5,7
서울,성북구,특수진료실,분만실,9,11
서울,영등포구,특수진료실,분만실,13,37
서울,용산구,특수진료실,분만실,6,14
서울,은평구,특수진료실,분만실,8,12
서울,종로구,특수진료실,분만실,5,9
서울,중구,특수진료실,분만실,9,43
서울,송파구,특수진료실,분만실,8,17
서울,중랑구,특수진료실,분만실,17,25
서울,양천구,특수진료실,분만실,17,29
서울,서초구,특수진료실,분만실,12,12
서울,노원구,특수진료실,분만실,8,27
서울,광진구,특수진료실,분만실,11,14
서울,강북구,특수진료실,분만실,10,10
서울,금천구,특수진료실,분만실,5,5
부산,남구,특수진료실,분만실,6,9
부산,동구,특수진료실,분만실,13,14
부산,동래구,특수진료실,분만실,17,21
부산,진구,특수진료실,분만실,13,19
부산,북구,특수진료실,분만실,16,18
부산,서구,특수진료실,분만실,14,33
부산,영도구,특수진료실,분만실,2,15
부산,중구,특수진료실,분만실,1,1
부산,해운대구,특수진료실,분만실,6,11
부산,사하구,특수진료실,분만실,3,14
부산,금정구,특수진료실,분만실,6,6
부산,강서구,특수진료실,분만실,0,0
부산,연제구,특수진료실,분만실,9,10
부산,수영구,특수진료실,분만실,5,5
부산,사상구,특수진료실,분만실,2,6
부산,기장군,특수진료실,분만실,4,4
대구,남구,특수진료실,분만실,3,4
대구,동구,특수진료실,분만실,5,11
대구,북구,특수진료실,분만실,7,22
대구,서구,특수진료실,분만실,1,1
대구,수성구,특수진료실,분만실,15,17
대구,중구,특수진료실,분만실,3,9
대구,달서구,특수진료실,분만실,18,19
대구,달성군,특수진료실,분만실,3,3
인천,미추홀구,특수진료실,분만실,15,17
인천,동구,특수진료실,분만실,2,2
인천,부평구,특수진료실,분만실,11,13
인천,중구,특수진료실,분만실,8,12
인천,서구,특수진료실,분만실,9,20
인천,남동구,특수진료실,분만실,14,24
인천,연수구,특수진료실,분만실,5,7
인천,계양구,특수진료실,분만실,7,7
인천,강화군,특수진료실,분만실,0,0
인천,옹진군,특수진료실,분만실,1,1
광주,동구,특수진료실,분만실,5,14
광주,북구,특수진료실,분만실,12,13
광주,서구,특수진료실,분만실,4,5
광주,광산구,특수진료실,분만실,5,19
광주,남구,특수진료실,분만실,1,4
대전,유성구,특수진료실,분만실,8,9
대전,대덕구,특수진료실,분만실,9,16
대전,서구,특수진료실,분만실,28,42
대전,동구,특수진료실,분만실,8,9
대전,중구,특수진료실,분만실,8,17
울산,남구,특수진료실,분만실,24,32
울산,동구,특수진료실,분만실,4,8
울산,중구,특수진료실,분만실,6,6
울산,북구,특수진료실,분만실,0,0
울산,울주군,특수진료실,분만실,1,1
세종,세종시,특수진료실,분만실,8,8
경기,가평군,특수진료실,분만실,0,0
경기,양평군,특수진료실,분만실,3,3
경기,여주시,특수진료실,분만실,3,5
경기,연천군,특수진료실,분만실,1,1
경기,광명시,특수진료실,분만실,14,16
경기,동두천시,특수진료실,분만실,3,3
경기,부천시,특수진료실,분만실,9,29
경기,성남시 수정구,특수진료실,분만실,6,6
경기,성남시 중원구,특수진료실,분만실,2,2
경기,성남시 분당구,특수진료실,분만실,27,27
경기,수원시 권선구,특수진료실,분만실,9,14
경기,수원시 장안구,특수진료실,분만실,8,12
경기,수원시 팔달구,특수진료실,분만실,8,19
경기,수원시 영통구,특수진료실,분만실,7,16
경기,안양시 만안구,특수진료실,분만실,4,7
경기,안양시 동안구,특수진료실,분만실,15,23
경기,의정부시,특수진료실,분만실,5,9
경기,과천시,특수진료실,분만실,0,0
경기,구리시,특수진료실,분만실,6,10
경기,안산시 단원구,특수진료실,분만실,12,27
경기,안산시 상록구,특수진료실,분만실,4,4
경기,평택시,특수진료실,분만실,10,17
경기,하남시,특수진료실,분만실,0,0
경기,군포시,특수진료실,분만실,3,4
경기,남양주시,특수진료실,분만실,13,18
경기,의왕시,특수진료실,분만실,0,0
경기,시흥시,특수진료실,분만실,8,12
경기,오산시,특수진료실,분만실,9,9
경기,고양시 덕양구,특수진료실,분만실,7,17
경기,고양시 일산 서구,특수진료실,분만실,6,6
경기,고양시 일산 동구,특수진료실,분만실,20,32
경기,용인기흥구,특수진료실,분만실,3,3
경기,용인수지구,특수진료실,분만실,6,6
경기,용인처인구,특수진료실,분만실,10,12
경기,이천시,특수진료실,분만실,10,10
경기,파주시,특수진료실,분만실,3,3
경기,김포시,특수진료실,분만실,16,16
경기,안성시,특수진료실,분만실,1,1
경기,화성시,특수진료실,분만실,27,42
경기,광주시,특수진료실,분만실,3,5
경기,양주시,특수진료실,분만실,1,1
경기,포천시,특수진료실,분만실,3,5
강원,고성군,특수진료실,분만실,0,0
강원,양구군,특수진료실,분만실,1,1
강원,양양군,특수진료실,분만실,0,0
강원,영월군,특수진료실,분만실,1,1
강원,인제군,특수진료실,분만실,0,0
강원,정선군,특수진료실,분만실,0,0
강원,철원군,특수진료실,분만실,0,0
강원,평창군,특수진료실,분만실,0,0
강원,홍천군,특수진료실,분만실,2,2
강원,화천군,특수진료실,분만실,0,0
강원,횡성군,특수진료실,분만실,0,0
강원,강릉시,특수진료실,분만실,11,19
강원,동해시,특수진료실,분만실,2,2
강원,속초시,특수진료실,분만실,3,6
강원,원주시,특수진료실,분만실,7,7
강원,춘천시,특수진료실,분만실,10,18
강원,태백시,특수진료실,분만실,2,3
강원,삼척시,특수진료실,분만실,2,4
충북,괴산군,특수진료실,분만실,0,0
충북,단양군,특수진료실,분만실,0,0
충북,보은군,특수진료실,분만실,0,0
충북,영동군,특수진료실,분만실,1,1
충북,옥천군,특수진료실,분만실,0,0
충북,음성군,특수진료실,분만실,0,0
충북,진천군,특수진료실,분만실,1,1
충북,증평군,특수진료실,분만실,0,0
충북,청주시 상당구,특수진료실,분만실,10,15
충북,청주시 흥덕구,특수진료실,분만실,12,17
충북,청주시 청원구,특수진료실,분만실,6,6
충북,청주시 서원구,특수진료실,분만실,8,9
충북,충주시,특수진료실,분만실,6,10
충북,제천시,특수진료실,분만실,7,9
충남,금산군,특수진료실,분만실,1,1
충남,당진시,특수진료실,분만실,0,0
충남,부여군,특수진료실,분만실,0,0
충남,서천군,특수진료실,분만실,0,0
충남,예산군,특수진료실,분만실,2,2
충남,청양군,특수진료실,분만실,0,0
충남,홍성군,특수진료실,분만실,2,4
충남,태안군,특수진료실,분만실,0,0
충남,천안시 서북구,특수진료실,분만실,32,32
충남,천안시 동남구,특수진료실,분만실,12,23
충남,공주시,특수진료실,분만실,6,7
충남,보령시,특수진료실,분만실,3,7
충남,아산시,특수진료실,분만실,12,12
충남,서산시,특수진료실,분만실,5,9
충남,논산시,특수진료실,분만실,3,6
충남,계룡시,특수진료실,분만실,0,0
전북,고창군,특수진료실,분만실,2,2
전북,무주군,특수진료실,분만실,0,0
전북,부안군,특수진료실,분만실,1,1
전북,순창군,특수진료실,분만실,0,0
전북,완주군,특수진료실,분만실,0,0
전북,임실군,특수진료실,분만실,0,0
전북,장수군,특수진료실,분만실,0,0
전북,진안군,특수진료실,분만실,0,0
전북,군산시,특수진료실,분만실,4,12
전북,남원시,특수진료실,분만실,2,6
전북,익산시,특수진료실,분만실,12,21
전북,전주시 완산구,특수진료실,분만실,14,22
전북,전주시 덕진구,특수진료실,분만실,15,15
전북,정읍시,특수진료실,분만실,4,5
전북,김제시,특수진료실,분만실,2,5
전남,강진군,특수진료실,분만실,1,1
전남,고흥군,특수진료실,분만실,2,2
전남,곡성군,특수진료실,분만실,0,0
