A000,비브리오 콜레라 01 콜레라형균에 의한 콜레라
A001,비브리오 콜레라 01 엘토르형균에 의한 콜레라
A009,상세불명의 콜레라
A010,장티푸스
A011,파라티푸스 A
A012,파라티푸스 B
A013,파라티푸스 C
A014,상세불명의 파라티푸스
A020,살모넬라장염
A021,살모넬라패혈증
A022,국소적 살모넬라감염
A028,기타 명시된 살모넬라감염
A029,상세불명의 살모넬라감염
A030,이질이질균에 의한 시겔라증
A031,플렉스네리이질균에 의한 시겔라증
A032,보이디이질균에 의한 시겔라증
A033,소네이이질균에 의한 시겔라증
A038,기타 시겔라증
A039,상세불명의 시겔라증
A040,장병원성 대장균감염
A041,장독소생산 대장균감염
A042,장침투성 대장균감염
A043,장출혈성 대장균감염
A044,기타 장대장균감염
A045,캄필로박터장염
A046,예르시니아 엔테로콜리티카에 의한 장염
A047,클로스트리듐 디피실리에 의한 장결장염
A048,기타 명시된 세균성 장감염
A049,상세불명의 세균성 장감염
A050,음식매개포도구균중독
A051,보틀리눔중독
A052,클로스트리듐 퍼프린젠스[클로스트리듐 웰치]에 의한 식중독
A053,장염비브리오균에 의한 식중독
A054,바실루스 세레우스에 의한 식중독
A058,기타 명시된 세균성 식중독
A059,상세불명의 세균성 식중독
A060,급성 아메바이질
A061,만성 장아메바증
A062,아메바성 비이질성 결장염
A063,장의 아메바종
A064,아메바성 간농양(K770*)
A065,아메바성 폐농양(J998*)
A066,아메바성 뇌농양(G07*)
A067,피부아메바증
A068,기타 부위의 아메바성 감염
A069,상세불명의 아메바증
A070,대장섬모충증
A071,편모충증[람블편모충증]
A072,와포자충증
A073,등포자충증
A078,기타 명시된 원충성 장질환
A079,상세불명의 원충성 장질환
A080,로타바이러스장염
A081,노워크병원체에 의한 급성 위장병증
A082,아데노바이러스장염
A083,기타 바이러스장염
A084,상세불명의 바이러스성 장감염
A085,기타 명시된 장감염
A090,감염성 기원의 기타 및 상세불명의 위장염 및 결장염
A099,상세불명 기원의 위장염 및 결장염
A150,배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵
A151,배양만으로 확인된 폐결핵
A152,조직학적으로 확인된 폐결핵
A153,상세불명의 수단으로 확인된 폐결핵
A154,세균학적 및 조직학적으로 확인된 흉곽내림프절의 결핵
A155,세균학적 및 조직학적으로 확인된 후두
A156,세균학적 및 조직학적으로 확인된 결핵성 흉막염
A157,세균학적 및 조직학적으로 확인된 일차호흡기결핵
A158,세균학적 및 조직학적으로 확인된 기타 호흡기결핵
A159,세균학적 및 조직학적으로 확인된 상세불명의 호흡기결핵
A160,세균학적 및 조직학적으로 음성인 폐결핵
A161,세균학적 및 조직학적 검사를 하지 않은 폐결핵
A162,세균학적 또는 조직학적 확인에 대한 언급이 없는 폐결핵
A163,세균학적 또는 조직학적 확인에 대한 언급이 없는 흉곽내림프절의 결핵
A164,세균학적 또는 조직학적 확인에 대한 언급이 없는 후두
A165,세균학적 또는 조직학적 확인에 대한 언급이 없는 결핵성 흉막염
A167,세균학적 또는 조직학적 확인에 대한 언급이 없는 일차호흡기결핵
A168,세균학적 또는 조직학적 확인에 대한 언급이 없는 기타 호흡기결핵
A169,세균학적 또는 조직학적 확인에 대한 언급이 없는 상세불명의 호흡기결핵
A170,결핵성 수막염(G01*)
A171,수막결핵종(G07*)
A178,기타 신경계통의 결핵
A179,신경계통의 상세불명 결핵(G998*)
A180,골 및 관절의 결핵
A181,비뇨생식계통의 결핵
A182,결핵성 말초림프절병증
A183,장
A184,피부 및 피하조직의 결핵
A185,눈의 결핵
A186,귀의 결핵
A187,부신의 결핵(E351*)
A188,기타 명시된 기관의 결핵
A190,하나로 명시된 부위의 급성 좁쌀결핵
A191,여러 부위의 급성 좁쌀결핵
A192,상세불명의 급성 좁쌀결핵
A198,기타 좁쌀결핵
A199,상세불명의 좁쌀결핵
A200,림프절형페스트
A201,연조직피부형페스트
A202,폐렴형페스트
A203,페스트수막염
A207,패혈증형페스트
A208,기타 형태의 페스트
A209,상세불명의 페스트
A210,궤양림프절야생토끼병
A211,눈림프절야생토끼병
A212,폐야생토끼병
A213,위장야생토끼병
A217,전신야생토끼병
A218,기타 형태의 야생토끼병
A219,상세불명의 야생토끼병
A220,피부탄저병
A221,폐탄저병
A222,위장탄저병
A227,탄저병패혈증
A228,기타 형태의 탄저병
A229,상세불명의 탄저병
A230,브루셀라 멜리텐시스에 의한 브루셀라병
A231,브루셀라 아보르투스에 의한 브루셀라병
A232,브루셀라 수이스에 의한 브루셀라병
A233,브루셀라 카니스에 의한 브루셀라병
A238,기타 브루셀라병
A239,상세불명의 브루셀라병
A240,마비저
A241,급성 및 전격성 유사비저
A242,아급성 및 만성 유사비저
A243,기타 유사비저
A244,상세불명의 유사비저
A250,스피릴룸증
A251,연쇄간균증
A259,상세불명의 쥐물음열
A260,피부유사단독
A267,에리시펠로트릭스 패혈증
A268,기타 형태의 유사단독
A269,상세불명의 유사단독
A270,황달출혈성 렙토스피라병
A278,기타 형태의 렙토스피라병
A279,상세불명의 렙토스피라병
A280,파스퇴렐라증
A281,고양이할큄병
A282,장외예르시니아증
A288,달리 분류되지 않은 기타 명시된 동물매개의 세균성 질환
A289,상세불명의 동물매개의 세균성 질환
A300,부정나병
A301,결핵모양나병
A302,경계결핵모양나병
A303,경계나병
A304,경계나병종나병
A305,나병종나병
A308,기타 형태의 나병
A309,상세불명의 나병
A310,폐마이코박테리아감염
A311,피부마이코박테리아감염
A318,기타 마이코박테리아감염
A319,상세불명의 마이코박테리아감염
A320,피부리스테리아증
A321,리스테리아 수막염 및 수막뇌염
A327,리스테리아패혈증
A328,기타 형태의 리스테리아증
A329,상세불명의 리스테리아증
A360,인두디프테리아
A361,비인두디프테리아
A362,후두디프테리아
A363,피부디프테리아
A368,기타 디프테리아
A369,상세불명의 디프테리아
A370,보르데텔라 페르투시스에 의한 백일해
A371,보르데텔라 파라페르투시스에 의한 백일해
A378,기타 보르데텔라균에 의한 백일해
A379,상세불명의 백일해
A390,수막구균수막염(G01*)
A391,워터하우스-프리데릭센증후군(E351*)
A392,급성 수막구균혈증
A393,만성 수막구균혈증
A394,상세불명의 수막구균혈증
A395,수막구균성 심장병
A398,기타 수막구균감염
A399,상세불명의 수막구균감염
A400,연쇄구균A군에 의한 패혈증
A401,연쇄구균B군에 의한 패혈증
A402,연쇄구균D군에 의한 패혈증
A403,폐렴연쇄구균에 의한 패혈증
A408,기타 연쇄구균패혈증
A409,상세불명의 연쇄구균패혈증
A410,황색포도구균에 의한 패혈증
A411,기타 명시된 포도구균에 의한 패혈증
A412,상세불명의 포도구균에 의한 패혈증
A413,인플루엔자균에 의한 패혈증
A414,무산소균에 의한 패혈증
A415,기타 그람음성균에 의한 패혈증
A418,기타 명시된 패혈증
A419,상세불명의 패혈증
A420,폐방선균증
A421,복부방선균증
A422,목얼굴방선균증
A427,방선균패혈증
